Reference ID,Hymn Number,Title (Myanmar),Title (English),Composer,Category,Scriptures,PDF,PPTX,Verse Count,Lyrics
12,1,"အိမ်ထောင်လုံးနံနက် သီချင်း","N/A","Henry Smart (1813-1879)","နံနက်ယံ","ဆာ၊ ၁၀၇း၄၁-၄၃","files/hymn-12.pdf","files/hymn-12.pptx",5,"[Verse 1]
အိမ်ထောင်လုံးနံနက် သီချင်း

[Verse 1]
လာကြလော့၊ အိမ်သူအိမ်သားများ၊ ကျေးဇူးတော် အောက်မေ့ကြစို့။
အနန္တမဟာ ကရုဏာ၊ စုရုံးလျက်သီချင်းသံချို၊
ဤနံနက်ခါ၊ ဤနံနက်ခါ ပြိုင်လျက် သီဆိုကြကုန်စို့။

[Verse 2]
ကောင်းကင်နှင့်မြေကြီးအရာကို၊ ဖန်ဆင်းသော ဘုရားရှင်၊
ကျွန်တို့ဆင်းရဲသော နေရာသို့၊ ကြွလာပါမည်လော သခင်၊
အိုကျေးဇူးရှင် အိုကျေးဇူးရှင်၊ ကြွလာတော်မူပါသခင်။

[Verse 3]
ရှေးကာလ၌ မိုက်မဲခြင်းဖြင့်၊ ဖုံးလွှမ်းလျက်နေကြပါပြီ၊
ဘုန်းနှင့်ပြည့်စုံသော ကယ်တင်ခြင်း၊ ရှေးကာလမကြားမသိ၊
ထိုကယ်တင်ခြင်း၊ ထိုကယ်တင်ခြင်း၊ ၀မ်းမြောက်ဖွယ်သတင်းဖြစ်၏။

[Verse 4]
ယေရှု၏ အသွေးတော်အားဖြင့်၊ တို့အပြစ်များကို ဖြေရှင်း၊
အားနည်းသောသူကို ကယ်မခြင်း၊ ပေးသနား အိုကျေးဇူးရှင်၊
ကောင်းကင်ဘုံ၌ ကောင်းကင်ဘုံ၌ စု‌ဝေးခြင်းပေးပါ၊ အာမင် (အာမင်)"
13,2,"နံနက်အာရုဏ်တက်ကျူး","When morning gilds the skies","Joseph Bamby (1838-1896)","နံနက်ယံ","ဖိ၊ ၂း၉-၁၁","files/hymn-13.pdf","files/hymn-13.pptx",4,"[Verse 1]
နံနက်အာရုဏ်တက်သော်၊ စိတ်တွင် ရွှင်လန်းကြွေးကြော်၊
ယေရှုကို ချီးမွမ်းစေ၊ လုပ်ကိုင်ဆုတောင်းစဥ်ခါ၊
ထံတော်သာ ချဥ်းကပ်လာ၊ ယေရှုကို ချီးမွမ်းစေ။

[Verse 2]
ယေရှုကို ချီးမွမ်းစေ၊ စိတ်တွင်းမှ ကျူးအေးလျှင်၊
ညဥ့်သည် နေ့လိုလင်းပေ၊ ယေရှုကို ချီးမွမ်းစေ၊
ချိုသာသံကို ကြားလျှင်၊ မှောင်မိုက်တန်ခိုးလွင့်ပေ။

[Verse 3]
ယေရှုကို ချီးမွမ်းစေ၊ ကောင်းကင်ရွှေပြည်တွင်လေ၊
ဤသံသာဆုံဖြစ်ပေ၊ မိုးမြေပင်လယ်များသည်
ထက်အောက်ပဲ့တင်ထပ်ပေ၊ ယေရှုကို ချီးမွမ်းစေ။

[Verse 4]
ယေရှုကို ချီးမွမ်းစေ၊ ဤထောမနာဆိုရာ၊
အသက်ရှင်နေစဥ်ခါ၊ ယေရှုကို ချီးမွမ်းစေ၊
ဤထာ၀ရသီချင်း၊ ဧကျူးကာလအစဥ်၊ အာမင်။
တုန့်ပြန်ရန်ကျူး
Almighty Father, hear our prayer
တန်ခိုးအနန္တရှင် မျက်မှောက်တော်၌
ပျပ်၀ပ်သူပေါင်း ကောင်းချီးပေးပါ။ အာမင်။"
14,3,"နံနက်ယံသီချင်း","Awake my soul and with the sun","Lowell Mason, 1792-1872","နံနက်ယံ","N/A","files/hymn-14.pdf","files/hymn-14.pptx",4,"[Verse 1]
ထ၊ ငါ့ဝိညာဥ်၊ နေနှင့်အတူ သင်၏ ဝတ်ကို နေ့စဥ်ပြုမူ၊
နံနက်ဝတ်ကို ပြုအံ့သောငှာ ပျင်းရိခြင်းကင်း၊ စောစောထပါ။

[Verse 2]
လွန်သောအချိန် ရွေးနုတ်ပြုပြင်၊ ယနေ့ပင်လျှင် နောက်ဆုံးဟုထင်၊
သတိပြု၍ စိတ်ဥာဏ်တိုးစေ၊ မဟာနေ့ဖို့ အသင့်ပြင်လေ။

[Verse 3]
မြွက်ဆိုတိုင်း၌ ဖြောင့်မှန်အစဥ်၊ သဘောစိတ်လည်း မှန်လိုကြည်လင်၊
ကွယ်ရာကြံစည်ပြုလေရာမှု၊ ဘုရားသခင် ရှုမြင်တော်မူ။

[Verse 4]
ခမည်းတော် သားတော်၊ ဝိညာဥ်တော် ပေါင်းလျက် တဆူဘုရား ဖြစ်သော်၊
ကောင်းကင်ဗိုလ်ခြေ၊ မြေနေလုံးစုံ ဂုဏ်ကျေးဇူးကို ချီးမွမ်းဆိုကုန်။ (အာမင်)
၃ (က) တုန့်ပြန်ရန်ကျူး
နားညောင်းမူပါ၊ ဘ ဘုရားသခင်၊ ကရုဏာတော်အားဖြင့်
ဆုကျေးဇူးပေးပါ။ အာမင်၊ အာမင်။"
15,4,"နံနက်သီချင်း","Morning hymn","N/A","နံနက်ယံ","ဆာ၊ ၅၇း၈","files/hymn-15.pdf","files/hymn-15.pptx",5,"[Verse 1]
နိုးလော့၊ အိုငါ့နာမ်ဝိညာဥ်၊ ကျေးဇူးကျူးဆိုလော့ သီချင်း။
သင့်အသက် အုပ်စိုးရှင်သည်၊ ညလုံးစောင့်ထိန်းတော်မူ၏။

[Verse 2]
ကြည့်ရှုစွမ်းအားကြီးသောနေ၊ ဘုန်းတန်ခိုးတော် ထင်ရှားစေ၊
လှည့်ပတ်လျက် နေ့ရက်အစဥ် ဝတ်ပြုသည် အမိန့်တော်ကျင့်။

[Verse 3]
သံချိုငှက် အမျိုးလုံးစုံ ဝမ်းမြောက်လျက်နှင့်ကျူးရင့်ကုန်၊
ဖန်ဆင်းသောရှင်၊ ဘုန်းတော်ကို၊ မြေသားမျိုးတို့ ချီးမွမ်းဆို။

[Verse 4]
ထိုသာယာစွာသီချင်းနှင့်၊ ငါ့သံလည်းညီညာမြည်သင့်၊
နားတော်ကြားဘွယ် ထောမနာ၊ ပြုနိုင်အောင်မစဘုရား။

[Verse 5]
ကျွ်န်ုပ်တို့အသက်ထက်ဆုံး၊ စောင့်ထိန်းတော်မူပါ လူ့ဘုံ၊
သေမင်းလှံယှဥ်ထိုးသောခါ၊ ပေါ်သို့ ချီဆောင်ကြွဆောင်ယူပါ။
၄ (က) တုန့်ပြန်ရန်ကျူး
ဗိမာန်တော်တွင် ကိုယ်တော်ရှင် ကိန်းဝပ်၊
မြေကြီးသားပေါင်း ငြိမ်သက်စွာ နေကြစေ။"
16,5,"ညဦးအချိန်ကျူး","Abide with me","William H. Mone (1823-1887)","ညဦးယံ","လု၊ ၂၄း၂၉","files/hymn-16.pdf","files/hymn-16.pptx",6,"[Verse 1]
ညဦးအချိန်ရှိပြီ၊ မိုးလည်းချုပ်သည်၊ ကိုယ်တော်အပြင် မစနိုင်သူမရှိ၊
အကျိုးနည်းသူကို ထောက်ပင့်အံ့သောငှာ၊ အကျွန်ုပ်နှင့်ဝင်၍ နေပါဘုရား။

[Verse 2]
အဆုံးတိုင်အောင် အသက်တာ ဆုတ်လျော့သည်၊ မြေကြီးစံစားရာမွဲ၊ ဘုန်းလည်းကွယ်၏
ဤလောက၌ အနိစ္စသာထင်ရှား၊ အမြဲတည်ရှင်၊ ကြွလာနေတော်မူပါ။

[Verse 3]
ဒဏ်ပေးပိုင်မင်းကြီး အာဏာနှင့် မဟုတ်၊ ကရုဏာတော်ြဖင့် ဒုက္ခမှ ရွေးနုတ်၊
သက်သာစေသော အတောင်တော်နှင့်တကွ၊ ကြွလာ အကျွန်ုပ်ထံနေတော်မူပါ။

[Verse 4]
အစဥ် ကိုယ်တော်ကို ဖူးတွေ့လိုပါ၏၊ မာရ်နတ်တန်ခိုး ဘယ်သူချိုးနိုင်သနည်း၊
ကိုယ်တော်မြတ်သာလျှင် တတ်နိုင်တော်မူရာ၊ ဩကျေးဇူးရှင် နေမြဲနေတော်မူပါ။

[Verse 5]
ကောင်းကျိုးပေးရန် အနားမှာနေမူလျှင်၊ ဘေးများအတွက် မစိုးရိမ်ပါအရှင်၊
သေမင်းလက်နက် အဘယ်မှာရှိသနည်း၊ တန်ခိုးတော်အားဖြင့် ကျွန်ုပ်အောင်လိမ့်မည်။

[Verse 6]
လက်ဝါးကပ်တိုင်တော်လင်း ကျေးဇူးအားဖြင့်၊ စုတေ့သော်၊ မျက်စိမှုန် ကိုယ်တော်ဖျောက်လွှင့်၊
ရွှေကောင်းကင်အရုဏ်ထက်၊ မြေကြီးကွယ်သွား၊ ကျွန်ုပ်အပါး နေတော်မူပါ ဘုရား။ (အာမင်)"
17,6,"နေ့အချိန်လွန်လုပြီကျူး","Day is dying in the west","William F. Sherwin (1826-1888)","ညဦးယံ","ဆာ၊ ၅၅း၁၇","files/hymn-17.pdf","files/hymn-17.pptx",4,"[Verse 1]"
18,7,"တရားနေမင်းကျူး","Sun of my soul, Thou saviour dear","N/A","ညဦးယံ","လု၊ ၂၄း၂၉","files/hymn-18.pdf","files/hymn-18.pptx",6,"[Verse 1]"
19,8,"ကိုယ်တော်အပါး ချဉ်းကပ်ကျူး","At even ere the sun was set","Johann G. W. Scheffler","ညဦးယံ","လု၊ ၉း၁၁","files/hymn-19.pdf","files/hymn-19.pptx",4,"[Verse 1]"
20,9,"နေမဝင်မီ ဆုတောင်းကျူး","I love to steal awhile away","D. Dulton","ညဦးယံ","ဆာ၊ ၅၁","files/hymn-20.pdf","files/hymn-20.pptx",4,"[Verse 1]"
21,10,"ညဉ့်ဉီးယံ ဂုဏ်တော်ကျူး","Glory to thee, my God, this night","Thomas Tallot (1509-1585)","ညဦးယံ","N/A","files/hymn-21.pdf","files/hymn-21.pptx",4,"[Verse 1]"
22,11,"နေဝင်ချိန်ကျူး","The day Thou gavest, Lord, is ended","Clement C. Scholefield (1839-1904)","ညဦးယံ","ဒေ၊ ၁၂း၁","files/hymn-22.pdf","files/hymn-22.pptx",4,"[Verse 1]"
23,12,"ညဦးယံ ဆုတောင်းကျူး","Evening prayer","N/A","ညဦးယံ","ဆာ၊ ၆၄း၅","files/hymn-23.pdf","files/hymn-23.pptx",5,"[Verse 1]"
