title,youtube,description,song_writer,style,key,lyrics,music_notes
ဤနေ့ရက်သည်,,,,,"<p>ဤနေ့ရက်သည်<br />
(ဤနေ့ရက်သည်)၂ (ဘုရားဖန်ဆင်းရာ)၂<br />
(ဝမ်းမြောက်ကြစို့ )၂ (ရွှင်လန်းကြပါစို့)၂<br />
ဤနေ့ရက်သည် ဘုရားဖန်ဆင်းရာ ဝမ်းမြောက်ကြစို့ ရွှင်လန်းကြပါစို့<br />
ဤနေ့ရက်သည် ဘုရားဖန်ဆင်းရာ<br />
&nbsp;</p>",
"ကိုယ်တော်၌ ဝမ်းမြောက်ခြင်း",,,,,"<p>(ကိုယ်တော်၌ ဝမ်းမြောက်ခြင်းသည် ခွန်အားရစေသည်)၃<br />
ဝမ်းမြောက်ခြင်းသည် ခွန်အားရစေသည်</p>

<p>(သင်လည်းဝမ်းမြောက်လိုလျှင် အသံလွှင့်ချီးမွမ်းလော့)၃<br />
ဝမ်းမြောက်ခြင်းသည် ခွန်အားရစေသည်</p>

<p>(အသက်စမ်းရေပေးသောကြောင့်ရေမငတ်တော့ပေ)၃<br />
ဝမ်းမြောက်ခြင်းသည် ခွန်အားရစေသည်</p>

<p>(စိတ်ညစ်စရာဒုက္ခတွေ့လျှင် ကျေးဇူးတော်ချီးမွမ်း)၃&nbsp;<br />
ဝမ်းမြောက်ခြင်းသည် ခွန်အားရစေသည်</p>

<p>(ဟာ ဟာ ဟာ&hellip;. ဟာလေလုယာ)၃<br />
ဝမ်းမြောက်ခြင်းသည် ခွန်အားရစေသည်</p>",
ကျေးဇူးတော်ကိုဝန်ခံလျက်,,,,,"<p>ကျေးဇူးတော်ကိုဝန်ခံလျက် တံခါးတော်သို့ ဝင်ကြစို့<br />
ချီးမွမ်းလျက် တံတိုင်းတော်သို့ ဝင်စို့<br />
ယနေ့သည် ကိုယ်တော်ဖန်ဆင်းသောနေ့ရက်ဖြစ်သည်<br />
ဝမ်းမြောက်စေသောကြောင့် ကျွန်ုပ်ရွှင်လန်းမည်<br />
(ဝမ်းမြောက်စေခဲ့ပြီ)၂<br />
ဝမ်းမြောက်စေသောကြောင့် ကျွန်ုပ်ရွှင်လန်းမည်]၂<br />
&nbsp;</p>",
ကြီးမြတ်လှတို့ဘုရားရှင်,,,,,"<p>(ကြီးမြတ်လှတို့ဘုရားရှင်)၂<br />
ကောင်ကင်သားများဦးချ မြေကြီးသားကိုးကွယ်ကြ<br />
ကြီးမြတ်လှတို့ဘုရားရှင်<br />
(ချီးမွမ်းခြင်းယဇ်ဖြင့်ပူဇော် ဘုရားရှင်၏အိမ်တော်)၂<br />
ကိုယ်တော်ကိုပေးလှူပါမည်<br />
ချီးမွမ်းခြင်းယဇ်ဖြင့်ပူဇော်ပါ၏<br />
ကိုယ်တော်ကိုပေးလှူပါမည်<br />
ချီးမွမ်းခြင်းယဇ်ဖြင့်ပူဇော်</p>",
ယေရှုခရစ်ပြောင်းလဲခြင်းမရှိ,,,,,"<p>ယေရှုခရစ် (ပြောင်းလဲခြင်းမရှိ)၃<br />
ယေရှုခရစ်ပြောင်းလဲခြင်းမရှိ မနေ့ယနေ့ နောင်ကာလ<br />
(ဟာလေလုယာ)၇<br />
&nbsp;</p>",
ကျေးဇူးတော်ခွက်ဖလား,,,,,"<p>ကျေးဇူးတော်ခွက်ဖလားလျှံလျက်ရှိပါသည်</p>

<p>နေ့ရက်အစဉ်ကရုဏာအသစ်ခံစားရသည်</p>

<p>အသက်တာ၏ လမ်းခရီးနေ့ရက်တိုင်းမှာ</p>

<p>ကျေးဇူးတော်နှင့်ပတ်ရစ်မူပြီ&nbsp;</p>

<p><br />
(ကောင်းမြတ်ခဲ့ပြီ မနေ့ကကောင်းမြတ်သည် ယခု<br />
ကောင်းမြတ်ဦးမည် ရှေ့အနာဂတ်မှာ<br />
ချီးမွမ်းမည် ကိုယ်တော်ကောင်းမြတ်ကြောင်းကို<br />
ချီးမွမ်းနေမည် နေ့ရက်အစဉ်တိုင်း)၂&nbsp;</p>

<p>&nbsp;</p>",
ကိုယ်တော်ကြောင့်နော်,,,,,"<p>Verb1 မျက်မှောက်တော်ထဲ ကျွန်ုပ်ရှိနေခြင်း<br />
သခင့်မျက်နှာတော် ကျွန်ုပ်ဖူးမျှော်ခြင်း<br />
အရာရာကိုယ်တော်ကြောင့်ဖြစ်လာသည်<br />
ကိုယ်တော်ကြောင့်အသက်ရှင်သည်<br />
တကယ်ပါကိုယ်တော့်ဖို့ ဖြစ်လာသည်<br />
ကိုယ်တော်အားဖြင့်သာ&hellip;</p>

<p>Cho : အဖ ကိုယ်တော့်ကြောင့်နော် ကျွနု်ပ်ဘဝ<br />
ကိုယ်တော့်ကြောင့်ပေါ့ ကျွနု်ပ်အသက်တာ<br />
ယခုချိန်ထိ သီချင်းများဆိုနိုင်ရာ ၊<br />
အဖ ကိုယ်တော့်ကြောင့်နော် ကျွန်ုပ်ဘဝ<br />
ကိုယ်တော့်ကြောင့်ပေါ့ ကျွန်ုပ်အသက်တာ<br />
ယခုချိန်ထိ ချီးမွမ်းကိုးကွယ်ရာ<br />
ကိုယ်တော့်ကြောင့်နော်</p>

<p>Pre: ကျွန်ုပ်ရဲ့ဖြောင့်မတ်ခြင်းကိုယ်တော်အားဖြင့်သာ<br />
ကျွန်ုပ်ရဲ့ ပြည့်စုံခြင်းကိုယ်တော်ကျေးဇူးကြောင့်သာ<br />
ကျွန်ုပ်ရဲ့ဖြောင့်မတ်ခြင်းကိုယ်တော်အားဖြင့်သာ<br />
ကျွန်ုပ်ရဲ့ အသက်ရှင်ခြင်း ကိုယ်တော်ကျေးဇူးကြောင့်သာ</p>",
နေရာပေးပါ၏,,,,,"<p>Verb : ခံစားချက်တို့မကောင်းရင်လည်းကိုယ်တော်ကိုကိုးကွယ်မယ်</p>

<p>နာကျဉ်းဝမ်းနည်းနေလည်း ရင်ထဲမှာ အခြေအနေမဟန်ရင်လည်း</p>

<p>ကိုယ်တော့်ကိုအမြဲတမ်းကိုးကွယ်မယ် ငြိမ်သက်ခြင်းရလိမ့်မယ်</p>

<p><br />
Cho: နေရာပေးပါ၏ သန့်ရှင်းသောဝိညာဉ်တော်</p>

<p>အတွင်းနှလုံးသားထဲ အစဉ်အုပ်စိုးမူပါ</p>

<p>နေရာပေးပါ၏ အနက်ရှိုင်းဆုံးနှလုံးအိမ်ဝယ်</p>

<p>ခံစားချက်တို့အထက် အစဉ်အုပ်စိုးမူပါ ဝိညာဉ်တော်&hellip;</p>

<p><br />
Verb2 : ရည်မှန်းချက်တို့မပြည့်စုံလည်းကိုယ်တော့်ကိုကိုးကွယ်မည်</p>

<p>နာကျဉ်းဝမ်းနည်းနေလည်း ပန်းတိုင်ရှာလေ ဝေးနေလည်း</p>

<p>ကိုယ်တော့်ကို အမြဲတမ်းဖက်ယမ်းမယ် ငြိမ်သက်ခြင်းရလိမ့်မယ်&hellip;</p>",
ဆန္ဒတစ်ခု,,,,,"<p>Verb : ကိုယ်တော့်ရဲ့အနား နေချင်တယ်</p>

<p>ကိုယ်တော်မျက်မှောက် လိုချင်တယ်</p>

<p>ကိုယ်တော်ဘုန်းတော်နှင့်လွှမ်းခြုံပေးပါ</p>

<p>ကိုယ်တော်နဲ့အမြဲအတူနေချင်တယ်</p>

<p>ကိုယ်တော်ကျွန်ုပ်ဘဝလိုအင်ပါ</p>

<p>ကြုံဆုံသမျှမုန်တိုင်းငြိမ်းစေသောသူ</p>

<p><br />
Cho : (နေ့ရက်တိုင်းကျွန်ုပ်ဆန္ဒ ကိုယ်တော်ရဲ့အနား နေခွင့်တစ်ခုသာ)၂</p>

<p>တောင်းလျှောက်ပါ၏</p>

<p>(အခြားအရပ်ရှိ ရက်တစ်ထောင်ထက် အိမ်တော်၌တစ်ရက်သာ၍ ကောင်း၏)၂&nbsp;</p>

<p>ကျွန်ုပ်၏ဆန္ဒ<br />
&nbsp;</p>",
ဆက်ကပ်အပ်နှံ,,,,,"<p>Verb : (ကျွန်ုပ်စိတ်နှလုံးအတွေးအခေါ်များ&nbsp;</p>

<p>အကြံအစည်အလုံးစုံ ကိုယ်တော်ရှင်ထံဝယ်အပ်နှံ</p>

<p>ကျွန်ုပ်ပြုရာအမှု သွားရာလမ်း ကိုယ်တော်ပဲ့ကိုင်ပေးပါ&nbsp;</p>

<p>အစဉ်ညွှန်ပြပို့ဆောင်ပါ)၂</p>

<p>(ကျွန်ုပ်အကြွင်းမဲ့ အပ်နှံ)</p>

<p><br />
Cho : ဝိညာဉ်တော်.. သွန်သင်ပေးပါ&nbsp;</p>

<p>ကျွန်ုပ်အသက်တာ ကိုယ်တော်၌အပ်နှံ&nbsp;</p>

<p>ဝိညာဉ်တော် အစဉ်စောင့်မပါ</p>

<p>ဖေးမပါ အားနည်းသူ ကျွနု်ပ်အား</p>

<p>(လမ်းပြပါ အားနည်းသူ ကျွန်ုပ်အား)<br />
(နှစ်သိမ့်ပါ အားနည်းသူ ကျွန်ုပ်အား)</p>

<p><br />
Pre : နှလုံးအစွမ်းသတ္တိ ရှိသောအရာ သခင့်ရှေ့တော်မှာ ပူဇော်ပါ၏&nbsp;</p>

<p>ဆက်ကပ်ခြင်းအား ကျေနပ်မူပါ ဆုတောင်းပါ၏ အဖဘုရား..<br />
&nbsp;</p>",
