Reference ID,Hymn Number,Title (Myanmar),Title (English),Composer,Category,Scriptures,PDF,PPTX,Verse Count,Lyrics
12,1,"အိမ်ထောင်လုံးနံနက် သီချင်း","N/A","Henry Smart (1813-1879)","နံနက်ယံ","ဆာ၊ ၁၀၇း၄၁-၄၃","files/hymn-12.pdf","files/hymn-12.pptx",5,"[Verse 1]
အိမ်ထောင်လုံးနံနက် သီချင်း

[Verse 1]
လာကြလော့၊ အိမ်သူအိမ်သားများ၊ ကျေးဇူးတော် အောက်မေ့ကြစို့။
အနန္တမဟာ ကရုဏာ၊ စုရုံးလျက်သီချင်းသံချို၊
ဤနံနက်ခါ၊ ဤနံနက်ခါ ပြိုင်လျက် သီဆိုကြကုန်စို့။

[Verse 2]
ကောင်းကင်နှင့်မြေကြီးအရာကို၊ ဖန်ဆင်းသော ဘုရားရှင်၊
ကျွန်တို့ဆင်းရဲသော နေရာသို့၊ ကြွလာပါမည်လော သခင်၊
အိုကျေးဇူးရှင် အိုကျေးဇူးရှင်၊ ကြွလာတော်မူပါသခင်။

[Verse 3]
ရှေးကာလ၌ မိုက်မဲခြင်းဖြင့်၊ ဖုံးလွှမ်းလျက်နေကြပါပြီ၊
ဘုန်းနှင့်ပြည့်စုံသော ကယ်တင်ခြင်း၊ ရှေးကာလမကြားမသိ၊
ထိုကယ်တင်ခြင်း၊ ထိုကယ်တင်ခြင်း၊ ၀မ်းမြောက်ဖွယ်သတင်းဖြစ်၏။

[Verse 4]
ယေရှု၏ အသွေးတော်အားဖြင့်၊ တို့အပြစ်များကို ဖြေရှင်း၊
အားနည်းသောသူကို ကယ်မခြင်း၊ ပေးသနား အိုကျေးဇူးရှင်၊
ကောင်းကင်ဘုံ၌ ကောင်းကင်ဘုံ၌ စု‌ဝေးခြင်းပေးပါ၊ အာမင် (အာမင်)"
13,2,"နံနက်အာရုဏ်တက်ကျူး","When morning gilds the skies","Joseph Bamby (1838-1896)","နံနက်ယံ","ဖိ၊ ၂း၉-၁၁","files/hymn-13.pdf","files/hymn-13.pptx",4,"[Verse 1]
နံနက်အာရုဏ်တက်သော်၊ စိတ်တွင် ရွှင်လန်းကြွေးကြော်၊
ယေရှုကို ချီးမွမ်းစေ၊ လုပ်ကိုင်ဆုတောင်းစဥ်ခါ၊
ထံတော်သာ ချဥ်းကပ်လာ၊ ယေရှုကို ချီးမွမ်းစေ။

[Verse 2]
ယေရှုကို ချီးမွမ်းစေ၊ စိတ်တွင်းမှ ကျူးအေးလျှင်၊
ညဥ့်သည် နေ့လိုလင်းပေ၊ ယေရှုကို ချီးမွမ်းစေ၊
ချိုသာသံကို ကြားလျှင်၊ မှောင်မိုက်တန်ခိုးလွင့်ပေ။

[Verse 3]
ယေရှုကို ချီးမွမ်းစေ၊ ကောင်းကင်ရွှေပြည်တွင်လေ၊
ဤသံသာဆုံဖြစ်ပေ၊ မိုးမြေပင်လယ်များသည်
ထက်အောက်ပဲ့တင်ထပ်ပေ၊ ယေရှုကို ချီးမွမ်းစေ။

[Verse 4]
ယေရှုကို ချီးမွမ်းစေ၊ ဤထောမနာဆိုရာ၊
အသက်ရှင်နေစဥ်ခါ၊ ယေရှုကို ချီးမွမ်းစေ၊
ဤထာ၀ရသီချင်း၊ ဧကျူးကာလအစဥ်၊ အာမင်။
တုန့်ပြန်ရန်ကျူး
Almighty Father, hear our prayer
တန်ခိုးအနန္တရှင် မျက်မှောက်တော်၌
ပျပ်၀ပ်သူပေါင်း ကောင်းချီးပေးပါ။ အာမင်။"
14,3,"နံနက်ယံသီချင်း","Awake my soul and with the sun","Lowell Mason, 1792-1872","နံနက်ယံ","N/A","files/hymn-14.pdf","files/hymn-14.pptx",4,"[Verse 1]
ထ၊ ငါ့ဝိညာဥ်၊ နေနှင့်အတူ သင်၏ ဝတ်ကို နေ့စဥ်ပြုမူ၊
နံနက်ဝတ်ကို ပြုအံ့သောငှာ ပျင်းရိခြင်းကင်း၊ စောစောထပါ။

[Verse 2]
လွန်သောအချိန် ရွေးနုတ်ပြုပြင်၊ ယနေ့ပင်လျှင် နောက်ဆုံးဟုထင်၊
သတိပြု၍ စိတ်ဥာဏ်တိုးစေ၊ မဟာနေ့ဖို့ အသင့်ပြင်လေ။

[Verse 3]
မြွက်ဆိုတိုင်း၌ ဖြောင့်မှန်အစဥ်၊ သဘောစိတ်လည်း မှန်လိုကြည်လင်၊
ကွယ်ရာကြံစည်ပြုလေရာမှု၊ ဘုရားသခင် ရှုမြင်တော်မူ။

[Verse 4]
ခမည်းတော် သားတော်၊ ဝိညာဥ်တော် ပေါင်းလျက် တဆူဘုရား ဖြစ်သော်၊
ကောင်းကင်ဗိုလ်ခြေ၊ မြေနေလုံးစုံ ဂုဏ်ကျေးဇူးကို ချီးမွမ်းဆိုကုန်။ (အာမင်)
၃ (က) တုန့်ပြန်ရန်ကျူး
နားညောင်းမူပါ၊ ဘ ဘုရားသခင်၊ ကရုဏာတော်အားဖြင့်
ဆုကျေးဇူးပေးပါ။ အာမင်၊ အာမင်။"
15,4,"နံနက်သီချင်း","Morning hymn","N/A","နံနက်ယံ","ဆာ၊ ၅၇း၈","files/hymn-15.pdf","files/hymn-15.pptx",5,"[Verse 1]
နိုးလော့၊ အိုငါ့နာမ်ဝိညာဥ်၊ ကျေးဇူးကျူးဆိုလော့ သီချင်း။
သင့်အသက် အုပ်စိုးရှင်သည်၊ ညလုံးစောင့်ထိန်းတော်မူ၏။

[Verse 2]
ကြည့်ရှုစွမ်းအားကြီးသောနေ၊ ဘုန်းတန်ခိုးတော် ထင်ရှားစေ၊
လှည့်ပတ်လျက် နေ့ရက်အစဥ် ဝတ်ပြုသည် အမိန့်တော်ကျင့်။

[Verse 3]
သံချိုငှက် အမျိုးလုံးစုံ ဝမ်းမြောက်လျက်နှင့်ကျူးရင့်ကုန်၊
ဖန်ဆင်းသောရှင်၊ ဘုန်းတော်ကို၊ မြေသားမျိုးတို့ ချီးမွမ်းဆို။

[Verse 4]
ထိုသာယာစွာသီချင်းနှင့်၊ ငါ့သံလည်းညီညာမြည်သင့်၊
နားတော်ကြားဘွယ် ထောမနာ၊ ပြုနိုင်အောင်မစဘုရား။

[Verse 5]
ကျွ်န်ုပ်တို့အသက်ထက်ဆုံး၊ စောင့်ထိန်းတော်မူပါ လူ့ဘုံ၊
သေမင်းလှံယှဥ်ထိုးသောခါ၊ ပေါ်သို့ ချီဆောင်ကြွဆောင်ယူပါ။
၄ (က) တုန့်ပြန်ရန်ကျူး
ဗိမာန်တော်တွင် ကိုယ်တော်ရှင် ကိန်းဝပ်၊
မြေကြီးသားပေါင်း ငြိမ်သက်စွာ နေကြစေ။"
17,6,"နေ့အချိန်လွန်လုပြီကျူး","Day is dying in the west","William F. Sherwin (1826-1888)","ညဦးယံ","ဆာ၊ ၅၅း၁၇","files/hymn-17.pdf","files/hymn-17.pptx",4,"[Verse 1]
နေ့အချိန်သည် လွန်လုပြီ၊ ငြိမ်သက်ခြင်းခွင့် ရပါ၏။
ကောင်းကင်မိုးမျက်နှာကျက်မှာ၊ ကြယ်များတို့ ထွန်းပေါက်စဥ်ခါ ဝတ်ပြုကိုးကွယ်။

[Chorus]
သန့်ရှင်း၊ သန့်ရှင်း၊ သန့်ရှင်း၊ ဗိုလ်ခြေသခင်၊ ကောင်းကင်နှင့် မြေကြီးတို့သည်
ကျေးဇူးတော်ဖြင့် ပြည့်စုံ၏၊ မြတ်ဆုံးဘုရား၊ အာမင်။

[Verse 2]
ကျွန်ုပ်တို့ အသက်သခင်၊ လောကဓါတ် အုပ်စိုးသောမင်း။
မျက်နှာတော်ကို ရှာသောသူ လက်တော်ဖြင့် သိမ်းယူတော်မူ၊ ကယ်ချွတ်ပိုင်ရှင်။

[Verse 3]
လောကီမှုရေးရှိသမျှ၊ မျက်စိမှ ကွယ်လွန်သောခါ၊
ကောင်းကင်ဗိုလ်ခြေတော်သခင်၊ ထာ၀ရ နံနက်ထွန်းလင်းစေတော်မူပါ။"
18,7,"တရားနေမင်းကျူး","Sun of my soul, Thou saviour dear","N/A","ညဦးယံ","လု၊ ၂၄း၂၉","files/hymn-18.pdf","files/hymn-18.pptx",6,"[Verse 1]
ဖြောင့်မတ်ခြင်း၏ တရားနေမင်း၊ ကိုယ်တော်ရှေ့၌ ညဉ့်နက်ပျောက်လွင့်၊
ရွှေမျက်နှာတော် မကွယ်စိမ့်ငှာ၊ မိုးတိမ်ရီမှောင်ဖျောက်တော်မူပါ၊

[Verse 2]
ကိုယ်တော်၏ ကျွန်ပင်ပန်းဖြင့်၊ မျက်လွှာလေးလံ၍ အိပ်ပျော်လျှင်၊
ကယ်တင်ပိုင်ရှင် ရင်ခွင်တော်မှာ အမောပြေသော် မြတ်မင်္ဂလာ

[Verse 3]
ကိုယ်တော်မြတ် ရှိတော်မူမှသာ ကျွန်ုပ်နေဝံ့ သေဝံ့နိုင်ပါ၊
ကျွန်ုပ်အနား ကိုယ်တော်ကိန်းဝပ်၊ ကြွတော်မူပါ နေ့ညဉ့်မပြတ်။

[Verse 4]
အကြင်သူသည် ယနေ့တွင်ပင်၊ သမ္မာတရားကို ငြင်းပယ်လျှင်၊
ထိုသူ နောက်နောင်မမှား စိမ့်ငှာ၊ လမ်းလွဲရာမှ ကယ်ချွတ်မူပါ။

[Verse 5]
မမာမကျန်း ဆင်းရဲသူတို့၊ ဤညဉ့်မြည်တမ်းသောသူ တို့ကို၊
ဘဏ္ဍာတော်တိုက်ကို ဖွင့်သဖြင့်၊ နှစ်သိမ့်စေတော်မူပါအရှင်။

[Verse 6]
နံနက် ကျွန်ုပ်တို့ နိုးကြလျှင်၊ အသီးသီး လုပ်ကိုင်သည်တွင်၊
လမ်းဆုံးမှာလည်း ရွှေကောင်းကင်မှာ ကောင်းကျိုးကို ပေးမူပါဘုရား။ (အာမင်)"
19,8,"ကိုယ်တော်အပါး ချဉ်းကပ်ကျူး","At even ere the sun was set","Johann G. W. Scheffler","ညဦးယံ","လု၊ ၉း၁၁","files/hymn-19.pdf","files/hymn-19.pptx",4,"[Verse 1]
ညနေချမ်းနေဝင်ချိန်အခါ၊ ကိုယ်တော်ပတ်လည် သူနာအများ၊
ဝိုင်းဝန်းတိုးဝှေ့ဆည်းကပ်ကြရာ၊ ရောဂါကင်းလျက် သွားကြရပါ။

[Verse 2]
ကျွန်ုပ်တို့သည် ထိုသို့ပမာ ရောဂါအမျိုးမျိုးနှင့် ကပ်လာ၊
ကိုယ်တော်ကို မျက်မှောက်မရှုသာ၊ သို့သော် ကိုယ်တော်ရှိကြောင်း သိရ။

[Verse 3]
ကိုယ်တော်မေတ္တာ တွေ့ကြသောခါ မေ့လျော့ကြပြီ အနာရောဂါ၊
အိုကယ်တင်ရှင် ကျွန်ုပ်တို့မှ ဆင်းရဲဒုက္ခ ကယ်ရှင်းမူပါ။

[Verse 4]
ကိုယ်တော် လက်တော်နှင့် တို့မှပါ၊ ကိုယ်တော်အသံတော် လွန်သာယာ၊
ဤညနေချမ်းနေဝင်ချိန်ခါ၊ ကယ်မ ချမ်းသာပေးတော်မူပါ။ (အာမင်)"
20,9,"နေမဝင်မီ ဆုတောင်းကျူး","I love to steal awhile away","D. Dulton","ညဦးယံ","ဆာ၊ ၅၁","files/hymn-20.pdf","files/hymn-20.pptx",4,"[Verse 1]
နေရောင်မကွယ်မလွန်မီခင်၊ လောကရှုပ်ထွေးခြင်းမှ၊
ခဏမျှသော အချိန်ယူကာ၊ ကိုယ်တော်ထံ တိုးဝင်ချင်။

[Verse 2]
နှစ်ကိုယ်တည်းသာ တွေ့ကြုံနိုင်ရာ၊ ဆိတ်ငြိမ်သောဌာနတွင်၊
နောင်တမျက်ရည်များ စီးယိုကာ၊ ကတိတော် တောင်းလျှောက်ချင်။

[Verse 3]
လွန်ပြီးကောင်းကြီးများ ရေတွက်ခါ၊ ရှေ့၌လည်း ထိုနည်းပင်၊
စုံစမ်းနှောင့်ယှက်တွေ့ကြရလျှင်၊ ခွန်အားသာ တိုးစေပါ။

[Verse 4]
သာ၍မြတ်သော ကောင်းကင်ချမ်းသာ၊ ယုံခြင်းဖြင့်ရနိုင်ပါ၊
လောကသက်တာ ကုန်ဆုံးခဲ့လျှင်၊ ကူးမြောက်စေပါ အရှင်။ (အာမင်)"
21,10,"ညဉ့်ဉီးယံ ဂုဏ်တော်ကျူး","Glory to thee, my God, this night","Thomas Tallot (1509-1585)","ညဦးယံ","N/A","files/hymn-21.pdf","files/hymn-21.pptx",4,"[Verse 1]
ကျွန်ုပ်ဘုရား ပေးတော်မူရာ ကျေးဇူးတော်တွက် ဤညဉ့်အခါ၊
ချီးမွမ်းပါသည် ဘုရင့် ဘုရင် တန်ခိုးတော်ဖြင့် ထိန်းပါ အရှင်။

[Verse 2]
ယနေ့ပြသော အပြစ်များကို၊ သားတော်အားဖြင့် ခွင့်လွှတ်စေလို၊
မအိပ်ပျော်ခင် ကိုယ်တော်မြတ်ပါ ခပ်သိမ်းသူနှင့် သင့်တင့်စေရာ။

[Verse 3]
သင်္ချိုင်းတွင်းကို အိပ်ရာကဲ့သို့၊ မကြောက်ရွံ့ဘဲ နေနိုင်ဘို့ရာ၊
နောက်ဆုံးနေ့၌ ထမြောက်ပြန်ခါ အောင်မြင်ခြင်းကို မတော်မူပါ။

[Verse 4]
ကျွန်ုပ်ဝိညာဉ် ကိုယ်တော်ရှေ့မှာ ချမ်းသာစွာ အိပ်ပျော်ခွင့်ပေးပါ၊
နိုးသောအခါ ကိုယ်တော်မြတ်ကို တိုး၍ ဆည်းကပ်စေတော်မူပါ။ (အာမင်)"
22,11,"နေဝင်ချိန်ကျူး","The day Thou gavest, Lord, is ended","Clement C. Scholefield (1839-1904)","ညဦးယံ","ဒေ၊ ၁၂း၁","files/hymn-22.pdf","files/hymn-22.pptx",4,"[Verse 1]
ပေးတော်မူသော နေ့တာ ကုန်လွန်ပြီ၊ မိန့်တော်မြတ်တိုင်း၊
အရုဏ်ချိန် ချီးမွမ်းခဲ့သည်နည်းတူ၊ မအိပ်ခင်လည်း ဘုန်းတော်ချီးမြှင့်။

[Verse 2]
နိုင်ငံတိုင်းမှာ အရုဏ်တက်သောခါ၊ နေ့သစ်တစ်နေ့ ဖြစ်လျက်ပေါ်လာ
ချီးမွမ်းဆုတောင်းသံ မြေကြီးပေါ်မှာ၊ ဘယ်သောခါမျှ မရပ်မနား။

[Verse 3]
အရှေ့တိုင်းသားများ အိပ်ပျော်စဉ်ခါ၊ အနောက်တိုင်းသားများ နိုးထကြ၊
အံ့ဖွယ်သောမှုတော်များအဆင့်ဆင့်၊ လူတို့ ချီးမွမ်းနေကြအစဉ်။

[Verse 4]
မြေကြီးပေါ်မှာ နိုင်ငံများ ပျက်ပြားပလ္လင်တော်ကား စဉ်ထာ၀ရ
လူတိုင်းထံတော်သို့ ရောက်သည်တိုင်အောင်၊ နိုင်ငံတော်သည် တိုးတက်ကြီးပွား။ (အာမင်)"
